Nr wiersza;Nr zamówienia;Priorytet zamówienia;Data zamówienia;Data wysy³ki;Rodzaj transportu;Rodzaj opakowania;Segment rynku;Klient;Nr klienta;Region;Województwo;Miasto;Kod pocztowy;Kategoria produktu;Podkategoria produktu;Nazwa produktu;Sprzeda¿;Iloœæ;Rabat procentowy;Zysk
44;PL-2020-010247;wysoki;12.01.2020;14.01.2020;standardowy;opakowanie;biuro;Zbigniew K¹kol;K01129;po³udniowy;œl¹skie;Rybnik;44-251;Artyku³y biurowe;Magazynowanie;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;95,616;2;0,2;9,5616
46;PL-2020-010373;wysoki;27.06.2020;29.06.2020;standardowy;ma³e pude³ko;osoba fizyczna;Rafa³ Kobek;K02882;pó³nocny;kujawsko-pomorskie;Toruñ;87-103;Artyku³y biurowe;Segregatory;Wilson Jones Leather-Like Binders with DublLock Round Rings;17,46;2;0;8,2062
47;PL-2020-010435;œredni;12.08.2020;14.08.2020;standardowy;opakowanie;korporacja;Tadeusz Komasa;K01280;pó³nocny;warmiñsko-mazurskie;Olsztyn;10-615;Artyku³y biurowe;Magazynowanie;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;211,96;4;0;8,4784
53;PL-2020-010819;krytyczny;26.08.2020;26.08.2020;standardowy;ma³e pude³ko;ma³a firma;Micha³ Komos;K02382;centralny;mazowieckie;Warszawa;00-446;Meble;Krzes³a;Global Leather Task Chair, Black;89,99;1;0;17,0981
55;PL-2020-010919;nieokreœlony;29.03.2020;29.03.2020;standardowy;du¿e pude³ko;korporacja;Wiktor Krupicki;K02842;po³udniowy;ma³opolskie;Kraków;31-510;Technologia;Telefony;AT&T CL83451 4-Handset Telephone;1029,95;5;0;298,6855
68;PL-2020-011460;wysoki;26.08.2020;28.08.2020;standardowy;ma³e pude³ko;biuro;Barbara M¹czyñska;K00563;wschodni;lubelskie;Lublin;20-148;Artyku³y biurowe;Sztuka;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;1113,024;8;0,2;111,3024
73;PL-2020-011779;wysoki;01.07.2020;03.07.2020;standardowy;worek;osoba fizyczna;Robert Palancik;K00102;po³udniowy;œl¹skie;Rybnik;44-217;Meble;Krzes³a;High-Back Leather Manager's Chair;831,936;8;0,2;-114,3912
74;PL-2020-011779;wysoki;01.07.2020;02.07.2020;standardowy;ma³e pude³ko;osoba fizyczna;Pawe³ Palek;K00102;po³udniowy;œl¹skie;Rybnik;44-217;Meble;Umeblowanie;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";97,04;2;0,2;1,213
86;PL-2020-012643;niski;21.03.2020;23.03.2020;standardowy;worek;ma³a firma;Robert Sulik;K00181;centralny;mazowieckie;Radom;26-617;Meble;Krzes³a;Novimex Swivel Fabric Task Chair;301,96;2;0;33,2156
94;PL-2020-085820;wysoki;15.10.2020;22.10.2020;standardowy;du¿e pude³ko;ma³a firma;Zbigniew Trewirek;K02409;po³udniowo-zachodni;opolskie;Popielów;46-090;Meble;Umeblowanie;"Seth Thomas 13 1/2"" Wall Clock";53,34;3;0;16,5354
103;PL-2020-012900;nieokreœlony;05.05.2020;06.05.2020;standardowy;opakowanie;korporacja;Wiktor Zam³cki;K01999;po³udniowo-zachodni;dolnoœl¹skie;Wroc³aw;50-347;Artyku³y biurowe;Papier;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);23,92;4;0;11,7208
108;PL-2020-085882;krytyczny;19.12.2020;24.12.2020;standardowy;worek;biuro;Marta Adamczyk;K01496;centralny;mazowieckie;Gniewoszów;26-920;Technologia;Telefony;Speck Products Candyshell Flip Case;27,992;1;0,2;2,0994
109;PL-2020-085882;nieokreœlony;19.12.2020;24.12.2020;standardowy;ma³e pude³ko;biuro;Zbigniew Adamski;K01496;centralny;mazowieckie;Gniewoszów;26-920;Artyku³y biurowe;Sztuka;Newell Chalk Holder;3,304;1;0,2;1,0738
111;PL-2020-085907;krytyczny;30.01.2020;31.01.2020;standardowy;ma³e pude³ko;osoba fizyczna;Agnieszka Bartczak;K00810;po³udniowo-zachodni;dolnoœl¹skie;Wêgliniec;59-940;Meble;Umeblowanie;Magnifier Swing Arm Lamp;41,96;2;0;10,9096
114;PL-2020-012900;nieokreœlony;05.05.2020;07.05.2020;kolejowy;paleta;korporacja;Maria Bartol;K01999;po³udniowo-zachodni;dolnoœl¹skie;Wroc³aw;50-347;Artyku³y biurowe;£¹czniki;OIC Colored Binder Clips, Assorted Sizes;40,096;14;0,2;14,5348
117;PL-2020-085941;krytyczny;12.06.2020;13.06.2020;standardowy;œrednie pude³ko;osoba fizyczna;Arkadiusz Boczek;K01188;po³udniowy;ma³opolskie;£¹cko;33-390;Artyku³y biurowe;Koperty;Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;130,464;6;0,2;44,0316
118;PL-2020-085941;niski;12.06.2020;15.06.2020;kolejowy;wielkie pud³o;osoba fizyczna;Krystian Borowczyk;K01187;pó³nocny;warmiñsko-mazurskie;Mi³om³yn;14-140;Meble;Sto³y;Hon Racetrack Conference Tables;787,53;3;0;165,3813
122;PL-2020-085994;nieokreœlony;09.08.2020;11.08.2020;standardowy;œrednie pude³ko;osoba fizyczna;Kinga Brauza;K01820;po³udniowo-zachodni;opolskie;Paw³owiczki;47-280;Artyku³y biurowe;Magazynowanie;Companion Letter/Legal File, Black;226,56;6;0;63,4368
125;PL-2020-086020;krytyczny;29.12.2020;31.12.2020;standardowy;worek;biuro;Anna Bryzik;K00450;po³udniowy;ma³opolskie;Tarnów;33-100;Meble;Krzes³a;Global Deluxe High-Back Manager's Chair;600,558;3;0,3;-8,5794
132;PL-2020-086056;krytyczny;30.12.2020;01.01.2021;standardowy;opakowanie;osoba fizyczna;Joanna Chmielewska;K02200;po³udniowo-zachodni;dolnoœl¹skie;¯arów;58-130;Artyku³y biurowe;Papier;Xerox 1916;78,304;2;0,2;29,364
133;PL-2020-086067;krytyczny;30.12.2020;31.12.2020;standardowy;ma³e pude³ko;osoba fizyczna;Katarzyna Chojnacka;K02655;po³udniowo-zachodni;dolnoœl¹skie;Legnica;59-220;Artyku³y biurowe;£¹czniki;Staples;21,456;9;0,2;6,9732
134;PL-2020-086079;œredni;28.10.2020;30.10.2020;standardowy;opakowanie;korporacja;Eliza Cicha;K01236;pó³nocno-zachodni;wielkopolskie;Miejska Górka;63-910;Artyku³y biurowe;Papier;Xerox 195;20,04;3;0;9,6192
135;PL-2020-086079;œredni;28.10.2020;30.10.2020;standardowy;ma³e pude³ko;korporacja;Maria Cicha;K01236;pó³nocno-zachodni;wielkopolskie;Miejska Górka;63-910;Artyku³y biurowe;Papier;Xerox 1880;35,44;1;0;16,6568
137;PL-2020-086095;niski;30.12.2020;01.01.2021;standardowy;ma³e pude³ko;biuro;Natalia Ciesielczyk;K02077;centralny;mazowieckie;Stare Babice;05-082;Artyku³y biurowe;£¹czniki;Ideal Clamps;4,02;2;0;1,9698
138;PL-2020-086095;krytyczny;30.12.2020;31.12.2020;kolejowy;paleta;biuro;Katarzyna Ciupka;K02078;wschodni;podkarpackie;Rakszawa;37-111;Artyku³y biurowe;Segregatory;GBC Wire Binding Strips;76,176;3;0,2;26,6616
139;PL-2020-086095;nieokreœlony;30.12.2020;01.01.2021;standardowy;ma³e pude³ko;biuro;£ukasz Cudo;K02080;centralny;³ódzkie;Sokolniki;98-420;Artyku³y biurowe;Zaopatrzenie;Fiskars Softgrip Scissors;65,88;6;0;18,4464
140;PL-2020-086108;nieokreœlony;30.06.2020;01.07.2020;standardowy;ma³e pude³ko;ma³a firma;Zofia Cudo;K03041;po³udniowy;ma³opolskie;Jab³onka;34-480;Meble;Umeblowanie;Longer-Life Soft White Bulbs;43,12;14;0;20,6976
146;PL-2020-086136;œredni;17.07.2020;18.07.2020;standardowy;ma³e pude³ko;biuro;Aleksandra Dere¿yñska;K02915;po³udniowy;ma³opolskie;Wojnicz;32-830;Artyku³y biurowe;Magazynowanie;Safco Industrial Wire Shelving;671,93;7;0;20,1579
152;PL-2020-085909;wysoki;18.10.2020;22.10.2020;standardowy;ma³e pude³ko;korporacja;Katarzyna Duda;K00815;wschodni;lubelskie;Borzechów;24-224;Artyku³y biurowe;Urz¹dzenia;Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection;157,92;5;0,2;17,766
157;PL-2020-086186;krytyczny;21.09.2020;23.09.2020;kolejowy;wielkie pud³o;korporacja;Julita Filusz;K02746;wschodni;œwiêtokrzyskie;Obrazów;27-641;Artyku³y biurowe;Sztuka;Newell 311;6,63;3;0;1,7901
158;PL-2020-086186;nieokreœlony;21.09.2020;21.09.2020;standardowy;opakowanie;korporacja;Daniel Funka;K02746;wschodni;œwiêtokrzyskie;Obrazów;27-641;Meble;Krzes³a;Global Deluxe High-Back Manager's Chair;457,568;2;0,2;51,4764
164;PL-2020-086223;niski;28.09.2020;03.10.2020;ekspresowy;ma³e pude³ko;osoba fizyczna;Monika Gierszewska;K03094;po³udniowo-zachodni;opolskie;Prószków;46-061;Artyku³y biurowe;Segregatory;Wilson Jones International Size A4 Ring Binders;27,68;2;0,2;9,688
181;PL-2020-086316;wysoki;30.08.2020;01.09.2020;standardowy;œrednie pude³ko;osoba fizyczna;Pawe³ Jarmu¿kiewicz;K00591;centralny;mazowieckie;Wyszogród;09-450;Artyku³y biurowe;Magazynowanie;Tenex File Box, Personal Filing Tote with Lid, Black;24,816;2;0,2;1,8612
182;PL-2020-086316;wysoki;30.08.2020;01.09.2020;standardowy;opakowanie;osoba fizyczna;Karolina Jarzyniewska;K00592;po³udniowy;ma³opolskie;Wieprz;34-122;Technologia;Akcesoria;"Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB";408,744;7;0,2;76,6395
190;PL-2020-086298;niski;28.01.2020;30.01.2020;standardowy;ma³e pude³ko;biuro;Monika Kaczmarek;K00262;centralny;³ódzkie;Piotrków Trybunalski;97-300;Meble;Rega³y;Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors;899,136;4;0,2;112,392
197;PL-2020-086370;wysoki;24.01.2020;25.01.2020;kolejowy;wielkie pud³o;osoba fizyczna;Katarzyna Karasiñska;K03141;pó³nocny;warmiñsko-mazurskie;I³awa;14-200;Artyku³y biurowe;Sztuka;Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box;6,048;3;0,2;1,5876
198;PL-2020-086370;nieokreœlony;24.01.2020;25.01.2020;standardowy;ma³e pude³ko;osoba fizyczna;Monika Karczewska;K03141;pó³nocny;warmiñsko-mazurskie;I³awa;14-200;Artyku³y biurowe;Magazynowanie;Decoflex Hanging Personal Folder File;46,26;3;0;12,0276
203;PL-2020-086423;nieokreœlony;28.02.2020;28.02.2020;standardowy;ma³e pude³ko;biuro;Sylwia Karpiñska;K01074;po³udniowo-zachodni;dolnoœl¹skie;Zgorzelec;59-900;Artyku³y biurowe;Urz¹dzenia;Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack;2,6;1;0,2;0,2925
205;PL-2020-086433;œredni;03.01.2020;07.01.2020;standardowy;ma³e pude³ko;korporacja;Ma³gorzata Kempa;K03118;wschodni;lubelskie;Susiec;22-672;Meble;Umeblowanie;Eldon 200 Class Desk Accessories, Burgundy;35,168;7;0,2;9,6712
206;PL-2020-086433;œredni;03.01.2020;05.01.2020;standardowy;œrednie pude³ko;korporacja;Dorota Kêsy;K03118;wschodni;lubelskie;Susiec;22-672;Technologia;Telefony;Nortel Business Series Terminal T7208 Digital phone;444,768;4;0,2;44,4768
207;PL-2020-086433;wysoki;03.01.2020;07.01.2020;kolejowy;paleta;korporacja;Agnieszka Kiciñska;K03118;wschodni;lubelskie;Susiec;22-672;Artyku³y biurowe;Magazynowanie;Tennsco Lockers, Gray;83,92;4;0;5,8744
208;PL-2020-086437;krytyczny;03.03.2020;05.03.2020;standardowy;ma³e pude³ko;korporacja;Paulina K³ossowska;K00608;po³udniowo-zachodni;dolnoœl¹skie;K¹ty Wroc³awskie;55-080;Technologia;Telefony;Panasonic KX-TG6844B Expandable Digital Cordless Telephone;131,98;2;0;35,6346
209;PL-2020-086437;wysoki;03.03.2020;04.03.2020;standardowy;ma³e pude³ko;korporacja;Mateusz Kociemba;K00608;po³udniowo-zachodni;dolnoœl¹skie;K¹ty Wroc³awskie;55-080;Artyku³y biurowe;Segregatory;Avery Durable Slant Ring Binders, No Labels;15,92;4;0;7,4824
211;PL-2020-086455;krytyczny;03.06.2020;04.06.2020;kolejowy;paleta;osoba fizyczna;Tymoteusz Konik;K02850;pó³nocny;kujawsko-pomorskie;Bukowiec;86-320;Artyku³y biurowe;Magazynowanie;Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h;91,99;1;0;3,6796
213;PL-2020-086467;niski;18.04.2020;20.04.2020;standardowy;œrednie pude³ko;osoba fizyczna;Micha³ Korzeniowski;K02560;pó³nocno-zachodni;lubuskie;Zabór;66-003;Artyku³y biurowe;Etykiety;Avery 505;23,68;2;0,2;8,88
214;PL-2020-086467;nieokreœlony;18.04.2020;20.04.2020;standardowy;ma³e pude³ko;osoba fizyczna;Renata Kosicka;K02560;pó³nocno-zachodni;lubuskie;Zabór;66-003;Meble;Rega³y;O'Sullivan 2-Door Barrister Bookcase in Odessa Pine;452,45;5;0,5;-244,323
215;PL-2020-086472;wysoki;27.09.2020;28.09.2020;standardowy;ma³e pude³ko;biuro;Joanna Kostrzewa;K01486;po³udniowo-zachodni;dolnoœl¹skie;Prusice;55-110;Technologia;Telefony;Speck Products Candyshell Flip Case;62,982;3;0,4;-14,6958
223;PL-2020-086516;wysoki;25.11.2020;26.11.2020;standardowy;ma³e pude³ko;biuro;Barbara Królik;K02472;centralny;mazowieckie;M³awa;06-500;Meble;Umeblowanie;"Executive Impressions 14"" Two-Color Numerals Wall Clock";72,704;4;0,2;19,0848
224;PL-2020-086516;wysoki;25.11.2020;26.11.2020;standardowy;worek;biuro;Paulina Kruk;K02472;centralny;mazowieckie;M³awa;06-500;Technologia;Maszyny;Swingline SM12-08 MicroCut Jam Free Shredder;479,988;4;0,7;-383,9904
232;PL-2020-086285;nieokreœlony;21.06.2020;21.06.2020;standardowy;ma³e pude³ko;korporacja;Agata Kurach;K03330;po³udniowy;œl¹skie;Tarnowskie Góry;42-600;Meble;Sto³y;Bush Advantage Collection Round Conference Table;233,86;2;0,45;-102,048
234;PL-2020-086578;nieokreœlony;10.03.2020;10.03.2020;standardowy;ma³e pude³ko;biuro;Marek Lipert;K01138;pó³nocno-zachodni;wielkopolskie;Bojanowo;63-940;Artyku³y biurowe;Segregatory;GBC Instant Index System for Binding Systems;5,328;2;0,7;-3,552
235;PL-2020-086594;nieokreœlony;04.06.2020;06.06.2020;standardowy;ma³e pude³ko;osoba fizyczna;Jaros³aw Lipiñski;K02923;pó³nocno-zachodni;zachodniopomorskie;Chociwel;73-120;Meble;Umeblowanie;"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""";258,072;3;0,2;0
236;PL-2020-086594;krytyczny;04.06.2020;04.06.2020;kolejowy;wielkie pud³o;osoba fizyczna;£ukasz Lipiñski;K02923;pó³nocno-zachodni;zachodniopomorskie;Chociwel;73-120;Technologia;Akcesoria;Logitech P710e Mobile Speakerphone;617,976;3;0,2;-7,7247
258;PL-2020-086701;nieokreœlony;06.09.2020;13.09.2020;standardowy;ma³e pude³ko;biuro;Micha³ Mendelewski;K02247;po³udniowy;œl¹skie;Koszêcin;42-286;Technologia;Telefony;Logitech Mobile Speakerphone P710e - speaker phone;647,904;6;0,2;56,6916
264;PL-2020-086726;wysoki;27.04.2020;28.04.2020;standardowy;ma³e pude³ko;ma³a firma;Marzena Miko³ajczak;K01670;pó³nocny;pomorskie;Hel;84-150;Technologia;Maszyny;Xerox WorkCentre 6505DN Laser Multifunction Printer;2519,958;7;0,4;-251,9958
267;PL-2020-086737;œredni;22.02.2020;24.02.2020;standardowy;ma³e pude³ko;korporacja;Edyta Musia³;K01458;po³udniowo-zachodni;opolskie;Œwierczów;46-100;Artyku³y biurowe;Sztuka;Quartet Omega Colored Chalk, 12/Pack;14,016;3;0,2;4,7304
284;PL-2020-086888;niski;06.02.2020;06.02.2020;standardowy;ma³e pude³ko;biuro;Kamila Owczarzak;K02495;centralny;mazowieckie;Korczew;08-108;Artyku³y biurowe;Papier;Easy-staple paper;141,76;5;0,2;47,844
285;PL-2020-086903;wysoki;27.01.2020;27.01.2020;standardowy;ma³e pude³ko;osoba fizyczna;Monika Owczarzak;K03153;po³udniowy;œl¹skie;Lyski;44-295;Technologia;Akcesoria;Microsoft Arc Touch Mouse;239,8;5;0,2;47,96
286;PL-2020-086736;wysoki;12.01.2020;12.01.2020;standardowy;ma³e pude³ko;korporacja;Pawe³ Owczarzak;K01458;po³udniowo-zachodni;opolskie;Œwierczów;46-100;Artyku³y biurowe;Papier;Xerox 216;31,104;6;0,2;10,8864
291;PL-2020-086935;nieokreœlony;15.05.2020;16.05.2020;standardowy;ma³e pude³ko;biuro;Alicja O¿arowska;K02017;centralny;mazowieckie;Jedlnia-Letnisko;26-630;Artyku³y biurowe;Etykiety;Avery 512;18,496;8;0,2;6,2424
292;PL-2020-086935;nieokreœlony;15.05.2020;17.05.2020;standardowy;opakowanie;biuro;Halina O¿arowska;K02017;centralny;mazowieckie;Jedlnia-Letnisko;26-630;Technologia;Akcesoria;Logitech Wireless Gaming Headset G930;255,984;2;0,2;54,3966
303;PL-2020-086997;œredni;18.08.2020;22.08.2020;standardowy;worek;biuro;Marcin Pogorzelec;K00777;pó³nocno-zachodni;wielkopolskie;Pogorzela;63-860;Artyku³y biurowe;Segregatory;Avery Premier Heavy-Duty Binder with Round Locking Rings;14,28;1;0;6,5688
304;PL-2020-086997;wysoki;18.08.2020;25.08.2020;standardowy;ma³e pude³ko;biuro;Agata Polañska;K00778;po³udniowo-zachodni;dolnoœl¹skie;Niemcza;58-230;Meble;Sto³y;BPI Conference Tables;219,075;3;0,5;-131,445
305;PL-2020-086997;œredni;18.08.2020;25.08.2020;kolejowy;wielkie pud³o;biuro;Ewelina Polewska;K00779;pó³nocno-zachodni;lubuskie;Gozdnica;68-130;Meble;Umeblowanie;Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp;26,8;2;0;12,864
306;PL-2020-087007;nieokreœlony;28.04.2020;29.04.2020;standardowy;ma³e pude³ko;osoba fizyczna;Borys Polowy;K01303;centralny;mazowieckie;Huszlew;08-206;Artyku³y biurowe;Sztuka;Newell 350;9,84;3;0;2,8536
309;PL-2020-086313;niski;14.03.2020;16.03.2020;ekspresowy;ma³e pude³ko;osoba fizyczna;Agata Przybylska;K00592;po³udniowy;ma³opolskie;Wieprz;34-122;Artyku³y biurowe;Sztuka;Faber Castell Col-Erase Pencils;4,89;1;0;2,0049
310;PL-2020-086313;krytyczny;14.03.2020;16.03.2020;standardowy;worek;osoba fizyczna;Magdalena Puk;K00592;po³udniowy;ma³opolskie;Wieprz;34-122;Meble;Umeblowanie;C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings;15,136;4;0,2;3,5948
322;PL-2020-087080;krytyczny;15.10.2020;17.10.2020;standardowy;ma³e pude³ko;biuro;Marzena S³owik;K01471;pó³nocno-zachodni;wielkopolskie;K³ecko;62-270;Artyku³y biurowe;Magazynowanie;Trav-L-File Heavy-Duty Shuttle II, Black;43,57;1;0;13,071
328;PL-2020-087119;niski;16.09.2020;18.09.2020;standardowy;ma³e pude³ko;osoba fizyczna;Joanna Stefañska;K02032;wschodni;lubelskie;W¹wolnica;24-160;Artyku³y biurowe;Magazynowanie;File Shuttle II and Handi-File, Black;54,224;2;0,2;3,389
329;PL-2020-087119;wysoki;16.09.2020;18.09.2020;standardowy;ma³e pude³ko;osoba fizyczna;Maria Strasz;K02033;wschodni;podlaskie;Zab³udów;16-060;Meble;Krzes³a;Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs;786,744;4;0,3;-258,5016
333;PL-2020-087149;wysoki;04.03.2020;06.03.2020;standardowy;ma³e pude³ko;korporacja;Micha³ Szlachta;K02061;wschodni;lubelskie;Michów;21-140;Artyku³y biurowe;Segregatory;Ibico Recycled Grain-Textured Covers;20,724;2;0,7;-13,816
334;PL-2020-087149;wysoki;04.03.2020;05.03.2020;standardowy;ma³e pude³ko;korporacja;Andrzej Szmyt;K02061;wschodni;lubelskie;Michów;21-140;Artyku³y biurowe;Segregatory;Wilson Jones Custom Binder Spines & Labels;4,896;3;0,7;-3,4272
335;PL-2020-087164;œredni;18.07.2020;18.07.2020;standardowy;opakowanie;osoba fizyczna;¯aneta Szofer;K02778;wschodni;podlaskie;Hajnówka;17-200;Artyku³y biurowe;Segregatory;Storex Dura Pro Binders;4,752;1;0,2;1,6038
342;PL-2020-087215;œredni;31.12.2020;24.03.2021;standardowy;ma³e pude³ko;korporacja;Jagoda Szymkowiak;K00250;po³udniowy;ma³opolskie;Czchów;32-860;Artyku³y biurowe;Segregatory;Fellowes PB200 Plastic Comb Binding Machine;509,97;10;0,7;-407,976
346;PL-2020-087106;krytyczny;25.12.2020;27.12.2020;kolejowy;paleta;korporacja;Agnieszka Torczyñska;K00566;centralny;mazowieckie;Wyszogród;09-450;Technologia;Telefony;Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5;47,976;3;0,2;4,7976
352;PL-2020-086317;krytyczny;10.11.2020;15.11.2020;standardowy;ma³e pude³ko;osoba fizyczna;Maciej Wapolski;K00592;po³udniowy;ma³opolskie;Wieprz;34-122;Artyku³y biurowe;Segregatory;Acco Hanging Data Binders;3,048;1;0,2;1,0668
359;PL-2020-086840;wysoki;06.12.2020;08.12.2020;standardowy;worek;ma³a firma;Katarzyna Wieczorek;K00015;po³udniowo-zachodni;dolnoœl¹skie;Polkowice;59-101;Artyku³y biurowe;Papier;Southworth 25% Cotton Linen-Finish Paper & Envelopes;36,24;5;0,2;11,325
362;PL-2020-086333;œredni;03.12.2020;04.12.2020;kolejowy;paleta;biuro;Aleksandra W³odarczak;K01946;centralny;mazowieckie;Andrzejewo;07-305;Artyku³y biurowe;Etykiety;"Avery Address/Shipping Labels for Typewriters, 4"" x 2""";20,7;2;0;9,936
366;PL-2020-087318;wysoki;14.01.2020;15.01.2020;standardowy;worek;osoba fizyczna;Monika Wnyk;K02853;po³udniowy;ma³opolskie;Ryglice;33-160;Artyku³y biurowe;Magazynowanie;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;211,96;4;0;8,4784
367;PL-2020-087329;nieokreœlony;24.09.2020;25.09.2020;kolejowy;paleta;ma³a firma;Jakub Wojciechowski;K03108;centralny;³ódzkie;£êczyca;99-100;Artyku³y biurowe;Segregatory;Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders;23,2;4;0;10,44
368;PL-2020-087337;niski;01.11.2020;01.11.2020;kolejowy;wielkie pud³o;korporacja;Piotr Wojciechowski;K01912;po³udniowo-zachodni;dolnoœl¹skie;Lwówek Œl¹ski;59-600;Artyku³y biurowe;Zaopatrzenie;Staple remover;7,36;2;0;0,1472
