Nr wiersza;Nr zamówienia;Priorytet zamówienia;Data zamówienia;Data wysy³ki;Rodzaj transportu;Rodzaj opakowania;Segment rynku;Klient;Nr klienta;Region;Województwo;Miasto;Kod pocztowy;Kategoria produktu;Podkategoria produktu;Nazwa produktu;Sprzeda¿;Iloœæ;Rabat procentowy;Zysk
126;PL-2021-086035;wysoki;08.04.2021;10.04.2021;standardowy;opakowanie;biuro;Agnieszka Bšk;K02641;wschodni;lubelskie;Bi³goraj;23-400;Meble;Sto³y;Bevis 44 x 96 Conference Tables;617,7;6;0,5;-407,682
130;PL-2021-086046;niski;26.05.2021;27.05.2021;standardowy;worek;biuro;Beata Burakowska;K01847;po³udniowo-zachodni;dolnoœl¹skie;¯ukowice;67-210;Meble;Umeblowanie;Eldon Cleatmat Plus Chair Mats for High Pile Carpets;238,56;3;0;26,2416
131;PL-2021-086046;niski;26.05.2021;28.05.2021;standardowy;worek;biuro;Teresa Cegielska;K01847;po³udniowo-zachodni;dolnoœl¹skie;¯ukowice;67-210;Technologia;Telefony;Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5;59,97;5;0,4;-11,994
153;PL-2021-086169;nieokreœlony;05.06.2021;06.06.2021;standardowy;ma³e pude³ko;osoba fizyczna;Magdalena Duszyñska;K02350;po³udniowy;œl¹skie;Goleszów;43-440;Technologia;Telefony;Jabra BIZ 2300 Duo QD Duo Corded Headset;203,184;2;0,2;15,2388
154;PL-2021-086169;wysoki;05.06.2021;06.06.2021;standardowy;worek;osoba fizyczna;Anna Dyrda³;K02351;pó³nocno-zachodni;wielkopolskie;Komorniki;62-052;Artyku³y biurowe;Papier;Southworth 25% Cotton Antique Laid Paper & Envelopes;58,38;7;0;26,271
155;PL-2020-086177;œredni;01.01.2021;02.04.2021;standardowy;worek;biuro;Pawe³ Felski;K00964;po³udniowo-zachodni;opolskie;G³ubczyce;48-100;Artyku³y biurowe;Papier;Xerox 1883;105,52;4;0;48,5392
161;PL-2021-086207;nieokreœlony;26.01.2021;28.01.2021;standardowy;ma³e pude³ko;korporacja;Karolina Ga³šzka;K03295;wschodni;lubelskie;Drelów;21-570;Artyku³y biurowe;Papier;Xerox 1920;5,98;1;0;2,691
162;PL-2021-086207;œredni;26.01.2021;28.01.2021;standardowy;worek;korporacja;Ewa Ganszewska;K03295;wschodni;lubelskie;Drelów;21-570;Technologia;Akcesoria;Lenovo 17-Key USB Numeric Keypad;54,384;2;0,2;1,3596
167;PL-2021-086239;œredni;01.11.2021;01.11.2021;standardowy;ma³e pude³ko;ma³a firma;Anna Grzeszczyk;K03274;centralny;mazowieckie;Zwoleñ;09-500;Artyku³y biurowe;Magazynowanie;Space Solutions HD Industrial Steel Shelving.;275,928;3;0,2;-58,6347
168;PL-2021-086239;krytyczny;01.11.2021;03.11.2021;standardowy;ma³e pude³ko;ma³a firma;Marta Guzy;K03274;centralny;mazowieckie;Zwoleñ;09-500;Meble;Krzes³a;SAFCO Arco Folding Chair;1740,06;9;0,3;-24,858
169;PL-2021-086022;nieokreœlony;22.08.2021;24.08.2021;standardowy;ma³e pude³ko;korporacja;Przemys³aw Hayto;K00450;po³udniowy;ma³opolskie;Tarnów;33-100;Artyku³y biurowe;Sztuka;Sanford Liquid Accent Highlighters;32,064;6;0,2;6,8136
170;PL-2021-086254;nieokreœlony;21.07.2021;23.07.2021;standardowy;ma³e pude³ko;korporacja;Anna Hofmann;K00546;wschodni;podkarpackie;Boguchwa³a;36-040;Artyku³y biurowe;Urz¹dzenia;Kensington 7 Outlet MasterPiece Power Center;177,98;5;0,8;-453,849
171;PL-2021-086262;nieokreœlony;06.03.2021;07.03.2021;ekspresowy;opakowanie;osoba fizyczna;Ilona Huryszewska;K02206;pó³nocny;pomorskie;Cedry Wielkie;83-020;Technologia;Telefony;JBL Micro Wireless Portable Bluetooth Speaker;143,976;3;0,2;8,9985
172;PL-2021-086262;niski;06.03.2021;08.03.2021;standardowy;ma³e pude³ko;osoba fizyczna;Agnieszka Jagodziñska;K02206;pó³nocny;pomorskie;Cedry Wielkie;83-020;Artyku³y biurowe;Papier;Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”;20,94;3;0;9,8418
173;PL-2021-086265;krytyczny;28.12.2021;30.12.2021;standardowy;worek;ma³a firma;Aldona Jakolewska;K00899;pó³nocno-zachodni;lubuskie;Babimost;66-110;Artyku³y biurowe;Papier;Xerox 1913;110,96;2;0;53,2608
175;PL-2021-012930;krytyczny;26.11.2021;27.11.2021;standardowy;ma³e pude³ko;korporacja;Mariusz Ja³ukowicz;K01413;po³udniowy;œl¹skie;Rybnik;44-207;Artyku³y biurowe;Urz¹dzenia;Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center;52,448;2;0,8;-131,12
176;PL-2021-086282;niski;12.07.2021;14.07.2021;standardowy;ma³e pude³ko;korporacja;Pawe³ Janicki;K00767;pó³nocno-zachodni;lubuskie;Nowe Miasteczko;67-124;Artyku³y biurowe;Etykiety;Avery 51;20,16;4;0,2;6,552
178;PL-2021-086295;krytyczny;21.05.2021;21.05.2021;standardowy;du¿e pude³ko;biuro;Marta Jankowska;K02899;wschodni;podkarpackie;Sieniawa;37-530;Meble;Krzes³a;Padded Folding Chairs, Black, 4/Carton;396,802;7;0,3;-11,3372
179;PL-2021-086295;nieokreœlony;21.05.2021;23.05.2021;ekspresowy;ma³e pude³ko;biuro;Pawe³ Janowski;K02899;wschodni;podkarpackie;Sieniawa;37-530;Artyku³y biurowe;Zaopatrzenie;Acme Rosewood Handle Letter Opener;15,88;5;0,2;-3,7715
180;PL-2021-086302;niski;02.05.2021;02.05.2021;kolejowy;paleta;biuro;Pawe³ Jarmulewicz;K00262;centralny;³ódzkie;Piotrków Trybunalski;97-300;Artyku³y biurowe;Sztuka;Sanford Colorific Eraseable Coloring Pencils, 12 Count;3,28;1;0;1,4104
189;PL-2021-086342;niski;03.08.2021;05.08.2021;ekspresowy;ma³e pude³ko;biuro;Leszek Kaczmarek;K01695;po³udniowo-zachodni;dolnoœl¹skie;Brzeg Dolny;56-120;Artyku³y biurowe;Papier;Southworth 25% Cotton Antique Laid Paper & Envelopes;20,016;3;0,2;6,255
193;PL-2021-086354;krytyczny;19.06.2021;19.06.2021;standardowy;ma³e pude³ko;korporacja;Tomasz Kaczmarek;K00561;pó³nocno-zachodni;zachodniopomorskie;Œwidwin;78-300;Meble;Rega³y;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;626,352;3;0,2;46,9764
194;PL-2021-086354;wysoki;19.06.2021;20.06.2021;standardowy;ma³e pude³ko;korporacja;Magdalena Kalecka;K00561;pó³nocno-zachodni;zachodniopomorskie;Œwidwin;78-300;Artyku³y biurowe;Sztuka;4009 Highlighters by Sanford;19,9;5;0;6,567
199;PL-2021-086377;niski;26.03.2021;27.03.2021;ekspresowy;du¿e pude³ko;korporacja;Pawe³ Karolak;K02397;pó³nocno-zachodni;wielkopolskie;Ostrowite;62-235;Artyku³y biurowe;Segregatory;"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue";2,946;2;0,7;-2,2586
204;PL-2021-086429;wysoki;10.09.2021;12.09.2021;standardowy;worek;osoba fizyczna;Marianna Karwacka;K02954;pó³nocno-zachodni;wielkopolskie;Margonin;64-830;Artyku³y biurowe;Urz¹dzenia;Eureka Sanitaire  Commercial Upright;66,284;2;0,8;-178,9668
210;PL-2021-086451;wysoki;17.07.2021;17.07.2021;standardowy;ma³e pude³ko;korporacja;Grzegorz Kokociñski;K03190;po³udniowy;œl¹skie;¯arki;42-310;Artyku³y biurowe;£¹czniki;Advantus Push Pins, Aluminum Head;52,29;9;0;16,2099
212;PL-2021-086461;œredni;18.06.2021;19.06.2021;standardowy;ma³e pude³ko;biuro;Maria Koñczal;K00907;wschodni;œwiêtokrzyskie;Kluczewsko;29-120;Technologia;Akcesoria;Memorex Micro Travel Drive 8 GB;20,8;2;0,2;6,5
216;PL-2021-086481;wysoki;05.12.2021;07.12.2021;standardowy;du¿e pude³ko;ma³a firma;Izabela Kotecka;K03029;po³udniowy;ma³opolskie;Muszyna;33-370;Technologia;Maszyny;Cisco 9971 IP Video Phone Charcoal;1188;9;0,7;-950,4
217;PL-2021-086487;krytyczny;19.03.2021;20.03.2021;standardowy;worek;ma³a firma;Barbara Kowalczyk;K02661;centralny;mazowieckie;Olszewo-Borki;07-415;Technologia;Akcesoria;Sony Micro Vault Click 16 GB USB 2.0 Flash Drive;89,584;2;0,2;4,4792
218;PL-2021-086487;œredni;19.03.2021;21.03.2021;standardowy;worek;ma³a firma;£ukasz Krakowski;K02662;po³udniowy;ma³opolskie;Lubieñ;32-433;Artyku³y biurowe;Magazynowanie;Personal Filing Tote with Lid, Black/Gray;93,06;6;0;26,0568
220;PL-2021-086503;wysoki;06.01.2021;08.01.2021;standardowy;ma³e pude³ko;korporacja;Alicja Krojczyk;K01906;po³udniowy;ma³opolskie;Nowy Wiœnicz;32-720;Artyku³y biurowe;£¹czniki;OIC Bulk Pack Metal Binder Clips;5,584;2;0,2;1,8148
221;PL-2021-086503;niski;06.01.2021;06.01.2021;standardowy;ma³e pude³ko;korporacja;Katarzyna Król;K01906;po³udniowy;ma³opolskie;Nowy Wiœnicz;32-720;Artyku³y biurowe;Papier;While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle;22,704;6;0,2;8,2302
222;PL-2021-086512;wysoki;06.07.2021;08.07.2021;standardowy;œrednie pude³ko;ma³a firma;Agnieszka Królik;K03224;wschodni;lubelskie;Rybczewice;21-065;Artyku³y biurowe;Segregatory;Ibico Standard Transparent Covers;19,776;4;0,7;-13,8432
228;PL-2021-086417;niski;09.10.2021;10.10.2021;standardowy;ma³e pude³ko;ma³a firma;Anna Krzemiñska;K01108;centralny;mazowieckie;Ró¿an;06-230;Artyku³y biurowe;Magazynowanie;Rogers Deluxe File Chest;21,98;1;0;0,2198
233;PL-2021-086570;wysoki;16.11.2021;16.11.2021;standardowy;ma³e pude³ko;biuro;Anna Liberkowska;K00945;wschodni;lubelskie;Spiczyn;21-077;Meble;Sto³y;Bretford Rectangular Conference Table Tops;620,6145;3;0,45;-248,2458
239;PL-2021-086622;niski;03.03.2021;08.03.2021;ekspresowy;ma³e pude³ko;osoba fizyczna;£ukasz Ludwiczak;K00237;po³udniowy;œl¹skie;Knurów;44-190;Meble;Umeblowanie;Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base;419,68;5;0,6;-356,728
240;PL-2021-086622;krytyczny;03.03.2021;05.03.2021;ekspresowy;ma³e pude³ko;osoba fizyczna;Piotr Ludwiczak;K00237;po³udniowy;œl¹skie;Knurów;44-190;Meble;Umeblowanie;Staple-based wall hangings;11,688;3;0,6;-4,6752
249;PL-2021-086663;nieokreœlony;21.05.2021;23.05.2021;standardowy;ma³e pude³ko;korporacja;Justyna Mamset;K03057;pó³nocno-zachodni;wielkopolskie;Rakoniewice;62-067;Artyku³y biurowe;Papier;Xerox 205;25,92;4;0;12,4416
250;PL-2021-086663;krytyczny;21.05.2021;23.05.2021;standardowy;worek;korporacja;Jakub Manicki;K03055;pó³nocno-zachodni;lubuskie;Gubin;66-620;Meble;Krzes³a;Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black;321,568;2;0,2;28,1372
251;PL-2021-086674;nieokreœlony;16.05.2021;23.05.2021;kolejowy;wielkie pud³o;korporacja;Leszek Manicki;K01591;pó³nocny;pomorskie;Sztutowo;82-110;Artyku³y biurowe;Papier;"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page";7,61;1;0;3,5767
256;PL-2021-086517;niski;01.06.2021;02.06.2021;standardowy;worek;biuro;Natalia Matuszczak;K02472;centralny;mazowieckie;M³awa;06-500;Artyku³y biurowe;Magazynowanie;"Belkin 19"" Vented Equipment Shelf, Black";82,368;2;0,2;-19,5624
269;PL-2021-086775;krytyczny;23.08.2021;25.08.2021;standardowy;ma³e pude³ko;osoba fizyczna;Edyta Musia³owska;K01115;po³udniowo-zachodni;dolnoœl¹skie;Nowa Ruda;57-401;Artyku³y biurowe;Magazynowanie;Safco Commercial Shelving;37,208;1;0,2;-7,4416
270;PL-2021-086225;œredni;20.09.2021;21.09.2021;standardowy;œrednie pude³ko;osoba fizyczna;Sylwia Musia³owska;K03094;po³udniowo-zachodni;opolskie;Prószków;46-061;Artyku³y biurowe;Koperty;Recycled Interoffice Envelopes with String and Button Closure, 10 x 13;57,576;3;0,2;21,591
278;PL-2021-086855;krytyczny;08.11.2021;09.11.2021;kolejowy;paleta;biuro;Katarzyna Nowakowska;K01863;pó³nocny;pomorskie;Rzeczenica;77-304;Artyku³y biurowe;Papier;"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages";18,176;4;0,2;5,9072
296;PL-2021-086969;niski;20.05.2021;22.05.2021;standardowy;ma³e pude³ko;osoba fizyczna;Agnieszka Paszkowska;K01574;wschodni;podkarpackie;Krosno;38-400;Meble;Umeblowanie;Eldon ClusterMat Chair Mat with Cordless Antistatic Protection;218,352;3;0,2;-24,5646
297;PL-2021-086969;niski;20.05.2021;21.05.2021;standardowy;ma³e pude³ko;osoba fizyczna;Micha³ Pawlak;K01574;wschodni;podkarpackie;Krosno;38-400;Artyku³y biurowe;Segregatory;Ibico Laser Imprintable Binding System Covers;78,6;5;0,7;-62,88
298;PL-2021-086969;œredni;20.05.2021;22.05.2021;standardowy;ma³e pude³ko;osoba fizyczna;Marta Pertek;K01574;wschodni;podkarpackie;Krosno;38-400;Artyku³y biurowe;£¹czniki;Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box;27,552;3;0,2;9,2988
311;PL-2021-087022;krytyczny;17.08.2021;17.08.2021;kolejowy;wielkie pud³o;ma³a firma;Anna Pukacka;K00602;po³udniowy;ma³opolskie;S³omniki;32-090;Meble;Krzes³a;Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs;466,768;2;0,2;52,5114
312;PL-2021-087027;wysoki;11.08.2021;13.08.2021;standardowy;opakowanie;ma³a firma;Alicja Pydrowska;K03060;wschodni;lubelskie;Frampol;23-440;Meble;Umeblowanie;Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany;15,232;1;0,2;1,7136
318;PL-2021-087048;niski;11.01.2021;14.01.2021;standardowy;ma³e pude³ko;korporacja;Natalia Sa³ek;K02998;centralny;³ódzkie;Dzia³oszyn;98-355;Meble;Krzes³a;DMI Arturo Collection Mission-style Design Wood Chair;135,882;1;0,1;24,1568
319;PL-2021-087048;niski;11.01.2021;13.01.2021;standardowy;opakowanie;korporacja;Alicja Sarniacka;K02998;centralny;³ódzkie;Dzia³oszyn;98-355;Technologia;Maszyny;Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier;3991,98;2;0;1995,99
324;PL-2021-087100;krytyczny;19.06.2021;20.06.2021;standardowy;ma³e pude³ko;korporacja;Jakub Sobiak;K03162;wschodni;podkarpackie;Miejsce Piastowe;38-430;Artyku³y biurowe;Segregatory;Ibico Laser Imprintable Binding System Covers;251,52;6;0,2;81,744
325;PL-2021-087107;wysoki;11.03.2021;13.03.2021;standardowy;ma³e pude³ko;korporacja;Stefan Socha;K00565;pó³nocny;warmiñsko-mazurskie;Susz;14-240;Technologia;Akcesoria;Logitech Wireless Headset h800;99,99;1;0;34,9965
326;PL-2021-087107;œredni;11.03.2021;16.03.2021;standardowy;opakowanie;korporacja;Kinga Stanis³awska;K00565;pó³nocny;warmiñsko-mazurskie;Susz;14-240;Meble;Umeblowanie;Telescoping Adjustable Floor Lamp;15,992;1;0,2;0,9995
331;PL-2021-087140;krytyczny;14.09.2021;16.09.2021;standardowy;worek;ma³a firma;Hanna Szarata;K00922;centralny;mazowieckie;Wo³omin;05-200;Artyku³y biurowe;Segregatory;GBC Premium Transparent Covers with Diagonal Lined Pattern;37,764;6;0,7;-27,6936
332;PL-2021-087140;nieokreœlony;14.09.2021;16.09.2021;standardowy;ma³e pude³ko;ma³a firma;Tomasz Szkudlarek;K00922;centralny;mazowieckie;Wo³omin;05-200;Technologia;Telefony;AT&T 841000 Phone;82,8;2;0,4;-20,7
336;PL-2021-087181;krytyczny;09.02.2021;09.02.2021;ekspresowy;du¿e pude³ko;korporacja;Natalia Szulc;K00090;pó³nocno-zachodni;zachodniopomorskie;Gryfice;72-300;Technologia;Kopiarki;Hewlett Packard LaserJet 3310 Copier;959,984;2;0,2;335,9944
337;PL-2021-087181;niski;09.02.2021;09.02.2021;standardowy;ma³e pude³ko;korporacja;Wioletta Szulczyk;K00091;pó³nocno-zachodni;zachodniopomorskie;Goleniów;72-100;Artyku³y biurowe;Segregatory;Avery Non-Stick Binders;14,368;4;0,2;4,49
338;PL-2021-087181;krytyczny;09.02.2021;11.02.2021;standardowy;opakowanie;korporacja;Weronika Szychowiak;K00091;pó³nocno-zachodni;zachodniopomorskie;Goleniów;72-100;Artyku³y biurowe;Segregatory;Tuff Stuff Recycled Round Ring Binders;7,712;2;0,2;2,7956
339;PL-2021-087189;krytyczny;21.08.2021;22.08.2021;standardowy;ma³e pude³ko;biuro;Piotr Szyler;K02972;centralny;mazowieckie;Izabelin;05-126;Meble;Sto³y;Hon 5100 Series Wood Tables;698,352;3;0,2;-17,4588
341;PL-2021-087212;wysoki;19.10.2021;21.10.2021;ekspresowy;ma³e pude³ko;korporacja;Agata Szymkowiak;K02526;centralny;³ódzkie;Wieluñ;98-300;Artyku³y biurowe;Sztuka;Newell 314;17,856;4;0,2;1,116
345;PL-2021-087230;nieokreœlony;08.05.2021;09.05.2021;standardowy;worek;biuro;Marta Tomczak;K00220;wschodni;lubelskie;Krynice;22-610;Artyku³y biurowe;Magazynowanie;Fellowes Super Stor/Drawer;88,8;4;0,2;-2,22
351;PL-2021-087242;wysoki;15.03.2021;17.03.2021;standardowy;worek;korporacja;Marta Walkowiak;K02822;wschodni;lubelskie;Wojcieszków;21-411;Artyku³y biurowe;Papier;Xerox 1881;24,56;2;0;11,5432
381;PL-2021-087386;nieokreœlony;07.10.2021;09.10.2021;standardowy;ma³e pude³ko;korporacja;Katarzyna Zimiñska;K02607;pó³nocny;pomorskie;Dziemiany;83-425;Artyku³y biurowe;Segregatory;"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black";12,176;4;0,8;-18,8728
393;PL-2021-087439;nieokreœlony;08.02.2021;09.02.2021;kolejowy;paleta;osoba fizyczna;Agnieszka Bartczak;K03228;pó³nocno-zachodni;wielkopolskie;KoŸminek;62-840;Technologia;Kopiarki;Canon PC1080F Personal Copier;1799,97;3;0;701,9883
394;PL-2021-087439;nieokreœlony;08.02.2021;10.02.2021;standardowy;ma³e pude³ko;osoba fizyczna;Aleksandra Bartczak;K03228;pó³nocno-zachodni;wielkopolskie;KoŸminek;62-840;Artyku³y biurowe;Segregatory;Wilson Jones Century Plastic Molded Ring Binders;12,462;3;0,8;-20,5623
408;PL-2021-086691;niski;14.09.2021;14.09.2021;standardowy;ma³e pude³ko;biuro;Agnieszka Bšk;K01933;centralny;³ódzkie;Zgierz;95-100;Artyku³y biurowe;Papier;Wirebound Message Book, 4 per Page;27,15;5;0;13,3035
409;PL-2021-086691;œredni;14.09.2021;16.09.2021;ekspresowy;worek;biuro;Agnieszka Bškowska;K01934;po³udniowo-zachodni;dolnoœl¹skie;Œcinawa;55-200;Meble;Sto³y;Bevis Round Conference Table Top, X-Base;1004,024;7;0,2;-112,9527
