Nr wiersza;Nr zamówienia;Priorytet zamówienia;Data zamówienia;Data wysy³ki;Rodzaj transportu;Rodzaj opakowania;Segment rynku;Klient;Nr klienta;Region;Województwo;Miasto;Kod pocztowy;Kategoria produktu;Podkategoria produktu;Nazwa produktu;Sprzeda¿;Iloœæ;Rabat procentowy;Zysk
36;PL-2019-009606;wysoki;29.07.2019;31.07.2019;ekspresowy;worek;ma³a firma;Andrzej Jadziak;K00898;centralny;mazowieckie;Warszawa;00-680;Technologia;Telefony;GE 30524EE4;1097,544;7;0,2;123,4737
45;PL-2019-010277;wysoki;09.04.2019;10.04.2019;standardowy;ma³e pude³ko;korporacja;Barbara Kiszewska;K01413;po³udniowy;œl¹skie;Rybnik;44-207;Technologia;Akcesoria;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;45,98;2;0;19,7714
49;PL-2019-010464;niski;12.08.2019;13.08.2019;standardowy;ma³e pude³ko;osoba fizyczna;Tadeusz Komorak;K00491;centralny;mazowieckie;Warszawa;00-346;Technologia;Telefony;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;21,8;2;0;6,104
54;PL-2019-000962;œredni;07.05.2019;09.05.2019;standardowy;ma³e pude³ko;ma³a firma;Tadeusz Kowalski;K02382;centralny;mazowieckie;Warszawa;00-446;Artyku³y biurowe;£¹czniki;Advantus Push Pins;15,26;7;0;6,2566
58;PL-2019-000962;wysoki;07.05.2019;09.05.2019;kolejowy;paleta;ma³a firma;Wiktor Labuda;K02382;centralny;mazowieckie;Warszawa;00-446;Meble;Krzes³a;Novimex Turbo Task Chair;319,41;5;0,1;7,098
62;PL-2019-011013;niski;19.04.2019;20.04.2019;standardowy;ma³e pude³ko;korporacja;Mateusz Likian;K02867;po³udniowy;œl¹skie;Ruda Œl¹ska;41-710;Artyku³y biurowe;Sztuka;Prang Dustless Chalk Sticks;1,68;1;0;0,84
63;PL-2019-011077;nieokreœlony;22.03.2019;26.03.2019;kolejowy;wielkie pud³o;osoba fizyczna;Marek Linda;K00640;pó³nocny;warmiñsko-mazurskie;Olsztyn;10-222;Technologia;Akcesoria;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;13,98;2;0;6,1512
64;PL-2019-011206;œredni;30.12.2019;01.01.2020;standardowy;ma³e pude³ko;ma³a firma;Micha³ Lindak;K01193;po³udniowy;œl¹skie;Ruda Œl¹ska;41-717;Artyku³y biurowe;Segregatory;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";25,824;6;0,2;9,3612
65;PL-2019-011206;nieokreœlony;30.12.2019;03.01.2020;standardowy;ma³e pude³ko;ma³a firma;Franciszek Lindarek;K01193;po³udniowy;œl¹skie;Ruda Œl¹ska;41-717;Artyku³y biurowe;Papier;Xerox 1943;146,73;3;0;68,9631
69;PL-2019-011527;wysoki;04.07.2019;06.07.2019;standardowy;opakowanie;biuro;Zbigniew M¹kol;K00349;po³udniowy;œl¹skie;Jastrzêbie-Zdrój;44-268;Technologia;Telefony;netTALK DUO VoIP Telephone Service;167,968;4;0,2;62,988
72;PL-2019-011712;nieokreœlony;28.04.2019;30.04.2019;standardowy;worek;osoba fizyczna;Ewa Niemota;K02491;po³udniowy;ma³opolskie;Kraków;31-102;Artyku³y biurowe;Papier;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";19,05;3;0;8,763
81;PL-2019-012224;niski;14.12.2019;16.12.2019;kolejowy;wielkie pud³o;osoba fizyczna;Wiktor Prószak;K01745;po³udniowo-zachodni;dolnoœl¹skie;Legnica;59-220;Artyku³y biurowe;Segregatory;Avery Heavy-Duty EZD  Binder With Locking Rings;16,74;3;0;8,0352
82;PL-2019-012224;wysoki;14.12.2019;14.12.2019;standardowy;worek;osoba fizyczna;Andrzej Robek;K01745;po³udniowo-zachodni;dolnoœl¹skie;Legnica;59-220;Artyku³y biurowe;Sztuka;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;14,9;5;0;4,172
85;PL-2019-012480;nieokreœlony;09.07.2019;10.07.2019;kolejowy;wielkie pud³o;ma³a firma;Marek Sawek;K03079;pó³nocno-zachodni;wielkopolskie;Poznañ;61-658;Artyku³y biurowe;Magazynowanie;Safco Industrial Wire Shelving;230,376;3;0,2;-48,9549
105;PL-2019-085857;œredni;21.01.2019;21.01.2019;standardowy;worek;osoba fizyczna;Edward ¯eligowski;K00259;pó³nocny;pomorskie;Nowy Dwór Gdañski;82-100;Meble;Umeblowanie;Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting;102,36;3;0,2;-3,8385
106;PL-2019-085866;wysoki;05.06.2019;07.06.2019;standardowy;opakowanie;korporacja;Zbigniew ¯eligowski;K01737;pó³nocno-zachodni;wielkopolskie;L¹dek;62-406;Artyku³y biurowe;Segregatory;"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";36,882;3;0,7;-25,8174
107;PL-2019-085866;œredni;05.06.2019;07.06.2019;ekspresowy;worek;korporacja;Paulina Adamczewska;K01737;pó³nocno-zachodni;wielkopolskie;L¹dek;62-406;Technologia;Akcesoria;Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive;74,112;8;0,2;17,6016
110;PL-2019-085895;wysoki;18.04.2019;20.04.2019;standardowy;ma³e pude³ko;biuro;Danuta Balcerska;K01916;pó³nocno-zachodni;zachodniopomorskie;Œwinoujœcie;72-600;Technologia;Akcesoria;Logitech Gaming G510s - Keyboard;339,96;5;0,2;67,992
127;PL-2019-086041;krytyczny;19.06.2019;20.06.2019;standardowy;ma³e pude³ko;korporacja;Agnieszka Bškowska;K00317;centralny;mazowieckie;Rusinów;26-411;Artyku³y biurowe;Segregatory;Avery Durable Slant Ring Binders, No Labels;2,388;2;0,7;-1,8308
128;PL-2019-086041;nieokreœlony;19.06.2019;20.06.2019;standardowy;ma³e pude³ko;korporacja;Anna Bukowska;K00317;centralny;mazowieckie;Rusinów;26-411;Artyku³y biurowe;Magazynowanie;Trav-L-File Heavy-Duty Shuttle II, Black;243,992;7;0,2;30,499
129;PL-2019-086041;krytyczny;19.06.2019;20.06.2019;standardowy;ma³e pude³ko;korporacja;Joanna Buksakowska;K00317;centralny;mazowieckie;Rusinów;26-411;Meble;Krzes³a;Global Task Chair, Black;81,424;2;0,2;-9,1602
136;PL-2019-086086;nieokreœlony;30.09.2019;02.10.2019;standardowy;ma³e pude³ko;ma³a firma;Ewelina Cieœlik;K02968;po³udniowy;ma³opolskie;Bochnia;32-700;Artyku³y biurowe;Sztuka;Sanford Colorific Colored Pencils, 12/Box;11,52;4;0;3,456
141;PL-2019-086118;nieokreœlony;18.05.2019;19.05.2019;standardowy;ma³e pude³ko;korporacja;Joanna Czapla;K02610;po³udniowo-zachodni;dolnoœl¹skie;Œroda Œl¹ska;55-300;Meble;Umeblowanie;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";82,8;2;0,2;10,35
142;PL-2019-086122;nieokreœlony;07.01.2019;08.01.2019;standardowy;worek;biuro;Malwina Czechowska;K01085;wschodni;œwiêtokrzyskie;Pacanów;28-133;Artyku³y biurowe;Sztuka;Newell 343;8,82;3;0;2,3814
149;PL-2019-086153;nieokreœlony;27.03.2019;29.03.2019;standardowy;ma³e pude³ko;ma³a firma;Magdalena Doliwa;K00880;po³udniowy;œl¹skie;Zawiercie;42-400;Technologia;Telefony;Anker Astro 15000mAh USB Portable Charger;149,97;3;0;5,9988
150;PL-2019-086153;wysoki;27.03.2019;29.03.2019;standardowy;ma³e pude³ko;ma³a firma;Joanna Drzewiecka;K00880;po³udniowy;œl¹skie;Zawiercie;42-400;Meble;Krzes³a;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;1951,84;8;0;585,552
156;PL-2019-086181;niski;15.06.2019;20.06.2019;standardowy;worek;ma³a firma;Konrad Fiedler;K01505;pó³nocno-zachodni;lubuskie;Kostrzyn nad Odr¹;66-470;Artyku³y biurowe;Magazynowanie;Tenex Personal Project File with Scoop Front Design, Black;80,88;6;0;21,0288
159;PL-2019-086192;wysoki;20.12.2019;21.12.2019;kolejowy;wielkie pud³o;korporacja;Iwona Furmaniuk;K00555;wschodni;podkarpackie;Narol;37-610;Artyku³y biurowe;Etykiety;Avery 519;14,62;2;0;6,8714
165;PL-2019-086227;nieokreœlony;07.02.2019;08.02.2019;kolejowy;paleta;ma³a firma;Magdalena Gilewicz;K02803;wschodni;podlaskie;Milejczyce;17-330;Artyku³y biurowe;Sztuka;BIC Brite Liner Highlighters;9,936;3;0,2;2,7324
166;PL-2019-086227;nieokreœlony;07.02.2019;09.02.2019;standardowy;ma³e pude³ko;ma³a firma;Agnieszka Grubiñska;K02803;wschodni;podlaskie;Milejczyce;17-330;Technologia;Maszyny;Lexmark MX611dhe Monochrome Laser Printer;8159,952;8;0,4;-1359,992
183;PL-2019-086327;krytyczny;22.09.2019;23.09.2019;standardowy;ma³e pude³ko;biuro;Marta Jaworska;K03105;centralny;mazowieckie;Czerwin;07-407;Technologia;Telefony;AT&T TR1909W;503,96;4;0;131,0296
184;PL-2019-086327;niski;22.09.2019;23.09.2019;standardowy;ma³e pude³ko;biuro;Pawe³ Jerzak;K03105;centralny;mazowieckie;Czerwin;07-407;Technologia;Telefony;Nokia Lumia 521 (T-Mobile);149,95;5;0;41,986
185;PL-2019-086327;krytyczny;22.09.2019;24.09.2019;standardowy;ma³e pude³ko;biuro;Milena Jeziorek;K03105;centralny;mazowieckie;Czerwin;07-407;Technologia;Akcesoria;HP Standard 104 key PS/2 Keyboard;29;2;0;7,25
201;PL-2019-086397;krytyczny;04.12.2019;06.12.2019;standardowy;ma³e pude³ko;osoba fizyczna;Jacek Karolczak;K01461;pó³nocno-zachodni;zachodniopomorskie;Trzebiatów;72-320;Artyku³y biurowe;Papier;Southworth 25% Cotton Linen-Finish Paper & Envelopes;21,744;3;0,2;6,795
202;PL-2019-086411;nieokreœlony;23.11.2019;24.11.2019;standardowy;opakowanie;ma³a firma;Jacek Karolczyk;K01107;pó³nocno-zachodni;lubuskie;Sk¹pe;66-213;Meble;Sto³y;BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables;218,75;2;0,5;-161,875
226;PL-2019-086528;krytyczny;14.02.2019;15.02.2019;standardowy;ma³e pude³ko;biuro;Katarzyna Kryger;K02553;pó³nocno-zachodni;wielkopolskie;Pleszew;63-300;Artyku³y biurowe;Sztuka;Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow;2,2;1;0;0,968
227;PL-2019-086535;niski;24.05.2019;25.05.2019;kolejowy;paleta;biuro;Marta Kryœlacka;K01257;pó³nocno-zachodni;wielkopolskie;Ostrów Wielkopolski;63-400;Meble;Sto³y;Bevis 36 x 72 Conference Tables;622,45;5;0;136,939
229;PL-2019-086546;nieokreœlony;16.06.2019;18.06.2019;standardowy;worek;korporacja;Pawe³ Kubaczyk;K02979;wschodni;lubelskie;Jeziorzany;21-146;Meble;Krzes³a;Global Low Back Tilter Chair;161,568;2;0,2;-28,2744
237;PL-2019-086599;wysoki;02.10.2019;03.10.2019;standardowy;ma³e pude³ko;biuro;Tadeusz Lipiñski;K01840;pó³nocno-zachodni;lubuskie;Krzeszyce;66-435;Artyku³y biurowe;Papier;Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright);10,56;2;0;4,752
238;PL-2019-086611;wysoki;28.07.2019;31.07.2019;standardowy;ma³e pude³ko;korporacja;Magdalena Lotka;K02264;centralny;mazowieckie;£askarzew;08-450;Artyku³y biurowe;Papier;Xerox 1957;25,92;5;0,2;9,396
243;PL-2019-086633;nieokreœlony;18.12.2019;19.12.2019;ekspresowy;œrednie pude³ko;ma³a firma;Daria Maækowiak;K02677;centralny;mazowieckie;Sobienie-Jeziory;08-443;Meble;Umeblowanie;Eldon 100 Class Desk Accessories;4,044;3;0,6;-2,8308
244;PL-2019-086633;wysoki;18.12.2019;18.12.2019;standardowy;worek;ma³a firma;Patrycja Maækowiak;K02677;centralny;mazowieckie;Sobienie-Jeziory;08-443;Artyku³y biurowe;Sztuka;Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set;7,408;2;0,2;1,2038
246;PL-2019-086646;œredni;22.09.2019;23.09.2019;standardowy;worek;osoba fizyczna;Aldona Majewska;K01679;pó³nocno-zachodni;wielkopolskie;Stawiszyn;62-820;Artyku³y biurowe;Magazynowanie;Safco Steel Mobile File Cart;166,72;2;0;41,68
247;PL-2019-086655;krytyczny;07.05.2019;09.05.2019;standardowy;ma³e pude³ko;ma³a firma;Marta Majsnerowska;K02379;pó³nocno-zachodni;wielkopolskie;Kramsk;62-511;Artyku³y biurowe;Papier;Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book;47,88;6;0;23,94
248;PL-2019-086655;krytyczny;07.05.2019;09.05.2019;kolejowy;paleta;ma³a firma;Natalia Ma³ecka;K02380;wschodni;lubelskie;Œwidnik;21-040;Artyku³y biurowe;Urz¹dzenia;Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room;1503,25;5;0;496,0725
255;PL-2019-086687;nieokreœlony;21.04.2019;25.04.2019;standardowy;worek;korporacja;Krzysztof Markiewicz;K01933;centralny;³ódzkie;Zgierz;95-100;Meble;Umeblowanie;Eldon 100 Class Desk Accessories;12,132;9;0,6;-8,4924
257;PL-2019-086694;krytyczny;27.11.2019;28.11.2019;standardowy;ma³e pude³ko;ma³a firma;Bartosz Melosik;K00129;wschodni;lubelskie;Janowiec;24-123;Artyku³y biurowe;Magazynowanie;Tenex Personal Project File with Scoop Front Design, Black;53,92;5;0,2;4,044
260;PL-2019-086258;krytyczny;07.01.2019;08.01.2019;standardowy;opakowanie;osoba fizyczna;Marcin Michalak;K02206;pó³nocny;pomorskie;Cedry Wielkie;83-020;Artyku³y biurowe;Magazynowanie;Safco Industrial Shelving;221,55;3;0;6,6465
261;PL-2019-086258;niski;07.01.2019;09.01.2019;standardowy;ma³e pude³ko;osoba fizyczna;£ukasz Michalski;K02206;pó³nocny;pomorskie;Cedry Wielkie;83-020;Artyku³y biurowe;Segregatory;Acco 3-Hole Punch;17,52;5;0,2;6,132
262;PL-2019-086592;krytyczny;02.09.2019;04.09.2019;standardowy;ma³e pude³ko;osoba fizyczna;Aleksandra Œmigaj;K02923;pó³nocno-zachodni;zachodniopomorskie;Chociwel;73-120;Artyku³y biurowe;Urz¹dzenia;Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac;1,624;2;0,8;-4,466
265;PL-2019-086545;nieokreœlony;28.02.2019;02.03.2019;standardowy;ma³e pude³ko;korporacja;Piotr Miko³ajczak;K02979;wschodni;lubelskie;Jeziorzany;21-146;Technologia;Telefony;Cisco Small Business SPA 502G VoIP phone;328,224;4;0,2;28,7196
266;PL-2019-086545;wysoki;28.02.2019;01.03.2019;standardowy;ma³e pude³ko;korporacja;Szymon Murawski;K02979;wschodni;lubelskie;Jeziorzany;21-146;Technologia;Akcesoria;Microsoft Sculpt Comfort Mouse;79,9;2;0;35,156
277;PL-2019-086837;krytyczny;10.04.2019;11.04.2019;standardowy;ma³e pude³ko;ma³a firma;Paulina Nowak;K00015;po³udniowo-zachodni;dolnoœl¹skie;Polkowice;59-101;Artyku³y biurowe;Papier;Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad;11,648;2;0,2;4,0768
280;PL-2019-086869;nieokreœlony;21.06.2019;24.06.2019;standardowy;œrednie pude³ko;korporacja;Maja Okoñska;K00796;centralny;mazowieckie;Ciepielów;27-310;Artyku³y biurowe;Etykiety;Avery 489;24,84;3;0,2;8,694
293;PL-2019-086951;nieokreœlony;06.07.2019;08.07.2019;standardowy;du¿e pude³ko;korporacja;Izabela O¿arowska;K02393;pó³nocny;pomorskie;Bytów;77-100;Meble;Rega³y;Bush Westfield Collection Bookcases, Medium Cherry Finish;86,97;3;0,5;-48,7032
294;PL-2019-086927;niski;14.09.2019;16.09.2019;standardowy;ma³e pude³ko;biuro;Magdalena Paszczak;K02896;wschodni;podlaskie;Micha³owo;16-050;Meble;Umeblowanie;"Howard Miller 13"" Diameter Goldtone Round Wall Clock";300,416;8;0,2;78,8592
295;PL-2019-086959;niski;14.05.2019;16.05.2019;standardowy;worek;korporacja;Maria Paszczak;K01826;po³udniowo-zachodni;dolnoœl¹skie;Lubomierz;59-623;Meble;Krzes³a;Global Deluxe Office Fabric Chairs;230,352;3;0,2;20,1558
307;PL-2019-087016;niski;22.12.2019;23.12.2019;kolejowy;wielkie pud³o;ma³a firma;Joanna Poniewska;K01124;po³udniowo-zachodni;dolnoœl¹skie;Niemcza;58-230;Artyku³y biurowe;Segregatory;GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack;45,48;3;0;20,9208
308;PL-2019-087016;niski;22.12.2019;24.12.2019;standardowy;ma³e pude³ko;ma³a firma;Karina Przybylak;K01123;wschodni;œwiêtokrzyskie;Sandomierz;27-600;Artyku³y biurowe;Sztuka;Boston Heavy-Duty Trimline Electric Pencil Sharpeners;289,2;6;0;83,868
313;PL-2019-087033;œredni;07.12.2019;09.12.2019;ekspresowy;du¿e pude³ko;biuro;£ukasz Rojewski;K02507;pó³nocno-zachodni;lubuskie;Górzyca;69-113;Artyku³y biurowe;Etykiety;Avery 509;6,264;3;0,2;2,0358
314;PL-2019-087033;œredni;07.12.2019;10.12.2019;kolejowy;paleta;biuro;Marcin Roszczka;K02522;wschodni;lubelskie;Tarnogród;23-420;Meble;Umeblowanie;Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black;87,54;3;0;37,6422
315;PL-2019-087033;nieokreœlony;07.12.2019;09.12.2019;standardowy;ma³e pude³ko;biuro;Andrzej Ro¿ek;K02506;wschodni;lubelskie;Rachanie;22-640;Technologia;Telefony;AT&T 1070 Corded Phone;178,384;2;0,2;22,298
316;PL-2019-087033;œredni;07.12.2019;09.12.2019;standardowy;ma³e pude³ko;biuro;Emilia Rybiñska;K02516;wschodni;œwiêtokrzyskie;Wodzis³aw;28-330;Artyku³y biurowe;Papier;Xerox 21;15,552;3;0,2;5,4432
317;PL-2019-087033;niski;07.12.2019;08.12.2019;standardowy;ma³e pude³ko;biuro;Adam Sajna;K02520;pó³nocny;pomorskie;Malbork;82-200;Artyku³y biurowe;Sztuka;Boston School Pro Electric Pencil Sharpener, 1670;99,136;4;0,2;8,6744
340;PL-2019-087193;wysoki;09.05.2019;11.05.2019;standardowy;ma³e pude³ko;korporacja;Ma³gorzata Szymañska;K01725;po³udniowy;œl¹skie;Krzy¿anowice;47-450;Artyku³y biurowe;£¹czniki;"OIC Binder Clips, Mini, 1/4"" Capacity, Black";4,96;4;0;2,3312
347;PL-2019-087234;niski;21.08.2019;23.08.2019;standardowy;opakowanie;biuro;Tomasz Trela;K02052;po³udniowo-zachodni;opolskie;Opole;45-676;Artyku³y biurowe;Sztuka;Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box;7,56;3;0;3,0996
348;PL-2019-087234;wysoki;21.08.2019;22.08.2019;standardowy;ma³e pude³ko;biuro;Maciej Trzaskawka;K02052;po³udniowo-zachodni;opolskie;Opole;45-676;Artyku³y biurowe;Papier;Easy-staple paper;24,56;2;0;11,5432
349;PL-2019-087234;nieokreœlony;21.08.2019;22.08.2019;ekspresowy;ma³e pude³ko;biuro;Piotr Trzaskowski;K02052;po³udniowo-zachodni;opolskie;Opole;45-676;Artyku³y biurowe;Sztuka;BIC Brite Liner Highlighters, Chisel Tip;12,96;2;0;4,1472
355;PL-2019-087272;niski;08.03.2019;10.03.2019;kolejowy;paleta;ma³a firma;Anna Weso³owska;K03327;centralny;³ódzkie;Rusiec;97-438;Meble;Rega³y;Sauder Barrister Bookcases;388,704;6;0,2;-4,8588
356;PL-2019-087272;krytyczny;08.03.2019;10.03.2019;standardowy;ma³e pude³ko;ma³a firma;Anna Wiatrowska;K03327;centralny;³ódzkie;Rusiec;97-438;Artyku³y biurowe;Koperty;#10 Gummed Flap White Envelopes, 100/Box;8,26;2;0;3,7996
357;PL-2019-087277;œredni;06.05.2019;07.05.2019;standardowy;du¿e pude³ko;korporacja;Zofia Wiatrowska;K00335;centralny;mazowieckie;Szyd³owiec;26-500;Artyku³y biurowe;Sztuka;Dixon Prang Watercolor Pencils, 10-Color Set with Brush;17,04;4;0;6,9864
358;PL-2019-087277;œredni;06.05.2019;06.05.2019;standardowy;ma³e pude³ko;korporacja;Beata Wieczorek;K00335;centralny;mazowieckie;Szyd³owiec;26-500;Artyku³y biurowe;Papier;Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”;34,4;5;0;15,824
361;PL-2019-087297;niski;09.05.2019;10.05.2019;standardowy;ma³e pude³ko;ma³a firma;Piotr Witek;K03248;po³udniowy;ma³opolskie;Koœcielisko;34-511;Artyku³y biurowe;Etykiety;"Avery Address/Shipping Labels for Typewriters, 4"" x 2""";20,7;2;0;9,936
370;PL-2019-087342;œredni;16.12.2019;18.12.2019;standardowy;œrednie pude³ko;ma³a firma;Izabela WoŸniak;K01644;pó³nocny;warmiñsko-mazurskie;Mi³akowo;14-310;Meble;Rega³y;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;1043,92;4;0;271,4192
371;PL-2019-087345;krytyczny;27.03.2019;31.03.2019;standardowy;ma³e pude³ko;ma³a firma;Izabela Worowska;K01699;wschodni;lubelskie;Firlej;21-136;Artyku³y biurowe;Papier;Xerox 1930;25,92;5;0,2;9,396
372;PL-2019-087345;niski;27.03.2019;27.03.2019;standardowy;ma³e pude³ko;ma³a firma;Natalia Wosiñska;K01699;wschodni;lubelskie;Firlej;21-136;Artyku³y biurowe;Magazynowanie;File Shuttle I and Handi-File;53,424;3;0,2;4,6746
373;PL-2019-086950;wysoki;31.05.2019;02.06.2019;standardowy;ma³e pude³ko;korporacja;Kinga Wójkiewicz;K02393;pó³nocny;pomorskie;Bytów;77-100;Artyku³y biurowe;Segregatory;Wilson Jones Custom Binder Spines & Labels;8,16;5;0,7;-5,712
374;PL-2019-087347;œredni;19.01.2019;21.01.2019;kolejowy;paleta;ma³a firma;Tomasz Wróblewski;K00366;centralny;mazowieckie;Brwinów;05-840;Technologia;Akcesoria;NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router;1023,936;8;0,2;179,1888
377;PL-2019-087365;œredni;17.03.2019;17.03.2019;kolejowy;wielkie pud³o;korporacja;Aleksandra Zarêbska;K00083;centralny;mazowieckie;B³êdów;05-620;Artyku³y biurowe;Papier;Xerox 1960;99,136;4;0,2;30,98
379;PL-2019-087378;nieokreœlony;03.09.2019;05.09.2019;kolejowy;paleta;biuro;Arkadiusz Zaworski;K01885;centralny;mazowieckie;Gzy;06-126;Artyku³y biurowe;Urz¹dzenia;Holmes Odor Grabber;8,652;3;0,8;-20,3322
380;PL-2019-087378;nieokreœlony;03.09.2019;05.09.2019;standardowy;ma³e pude³ko;biuro;Magdalena Zieliñska;K01882;wschodni;lubelskie;Zwierzyniec;22-304;Artyku³y biurowe;Magazynowanie;Akro-Mils 12-Gallon Tote;23,832;3;0,2;2,6811
390;PL-2019-087425;krytyczny;03.06.2019;05.06.2019;standardowy;ma³e pude³ko;osoba fizyczna;Marta Adamczyk;K01556;po³udniowo-zachodni;dolnoœl¹skie;O³awa;55-200;Artyku³y biurowe;Segregatory;Angle-D Binders with Locking Rings, Label Holders;23,36;4;0,2;7,884
391;PL-2019-087425;krytyczny;03.06.2019;05.06.2019;standardowy;ma³e pude³ko;osoba fizyczna;Zbigniew Adamski;K01556;po³udniowo-zachodni;dolnoœl¹skie;O³awa;55-200;Technologia;Akcesoria;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;39,98;2;0;13,5932
